checkpoint (in update steps),metric_name,metric
545904,acc,0.7581111111111112
568650,acc,0.7516666666666666
614142,acc,0.7565555555555554
159222,acc,0.7490000000000001
45492,acc,0.7135555555555555
341190,acc,0.7421111111111112
318444,acc,0.7478888888888888
659634,acc,0.7614444444444445
204714,acc,0.7637777777777778
136476,acc,0.7591111111111112
68238,acc,0.7284444444444444
818856,acc,0.7508888888888888
864348,acc,0.7558888888888888
932586,acc,0.7568888888888889
250206,acc,0.7555555555555556
386682,acc,0.7494444444444444
523158,acc,0.7595555555555555
454920,acc,0.7535555555555555
705126,acc,0.7593333333333333
500412,acc,0.7581111111111112
432174,acc,0.7572222222222222
591396,acc,0.7567777777777777
22746,acc,0.6745555555555556
181968,acc,0.7626666666666666
90984,acc,0.7451111111111111
113730,acc,0.7362222222222221
636888,acc,0.7558888888888888
363936,acc,0.7532222222222223
773364,acc,0.7433333333333334
796110,acc,0.7579999999999999
1000824,acc,0.7564444444444445
955332,acc,0.7565555555555555
887094,acc,0.7531111111111111
978078,acc,0.7568888888888889
841602,acc,0.7562222222222222
909840,acc,0.7556666666666667
750618,acc,0.7417777777777778
682380,acc,0.7528888888888889
477666,acc,0.7582222222222222
227460,acc,0.7564444444444445
295698,acc,0.7576666666666666
727872,acc,0.7522222222222222
409428,acc,0.7495555555555556
272952,acc,0.7482222222222222
10,acc,0.5658888888888889
20,acc,0.5654444444444445
0,acc,0.5665555555555555
100,acc,0.5630000000000001
800,acc,0.5840000000000001
200,acc,0.5768888888888889
40,acc,0.564
400,acc,0.5713333333333332
