checkpoint (in update steps),test_dataset,metric_name,metric
0,cola,mcc,0.07615115882211905
3200,cola,mcc,0.10602775846223043
6400,cola,mcc,0.08204126978749968
20000,cola,mcc,0.28536887063315836
40000,cola,mcc,0.4116764797450708
80000,cola,mcc,0.49127930626038135
160000,cola,mcc,0.5598962230809679
320000,cola,mcc,0.562537539158554
420000,cola,mcc,0.5312491014766616
520000,cola,mcc,0.5546523376035263
640000,cola,mcc,0.5472187281316763
760000,cola,mcc,0.5685115636716958
880000,cola,mcc,0.5524078413415989
1000000,cola,mcc,0.5577102164211517
