checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,f1-measure-overall,0.24432061723098494
10,last,f1-measure-overall,0.24451939291732108
20,last,f1-measure-overall,0.24437638610196896
40,last,f1-measure-overall,0.2432432432431951
100,last,f1-measure-overall,0.24318349299921485
200,last,f1-measure-overall,0.2482961098877571
400,last,f1-measure-overall,0.25234318673390954
800,last,f1-measure-overall,0.2654303100550069
1600,last,f1-measure-overall,0.28389027431416525
3200,last,f1-measure-overall,0.33351851851846864
6400,last,f1-measure-overall,0.44181256436658234
12800,last,f1-measure-overall,0.6850507982582954
20000,last,f1-measure-overall,0.7305787946046965
40000,last,f1-measure-overall,0.7602399314481076
60000,last,f1-measure-overall,0.7617094017093519
66694,last,f1-measure-overall,0.7736124217208046
80000,last,f1-measure-overall,0.7764060356652451
100000,last,f1-measure-overall,0.7906295754025855
120000,last,f1-measure-overall,0.7964677640603067
133388,last,f1-measure-overall,0.7890958810459251
140000,last,f1-measure-overall,0.7833858200697433
160000,last,f1-measure-overall,0.7919382504287664
180000,last,f1-measure-overall,0.8002745367192363
200000,last,f1-measure-overall,0.797664032978308
200082,last,f1-measure-overall,0.7902296379117072
220000,last,f1-measure-overall,0.7927510091900213
240000,last,f1-measure-overall,0.8023335621138828
260000,last,f1-measure-overall,0.8110202324579784
266776,last,f1-measure-overall,0.8054578220200307
280000,last,f1-measure-overall,0.8063601203265508
300000,last,f1-measure-overall,0.8017094017093518
320000,last,f1-measure-overall,0.811569251958287
340000,last,f1-measure-overall,0.8014421838783946
360000,last,f1-measure-overall,0.806878761822822
380000,last,f1-measure-overall,0.8097165991902334
400000,last,f1-measure-overall,0.8116391184572503
420000,last,f1-measure-overall,0.8136206896551225
440000,last,f1-measure-overall,0.8048989379924133
460000,last,f1-measure-overall,0.8059035524283008
480000,last,f1-measure-overall,0.8131678731471406
500000,last,f1-measure-overall,0.8124140302612981
520000,last,f1-measure-overall,0.808186333276196
540000,last,f1-measure-overall,0.8131378097932783
560000,last,f1-measure-overall,0.8218919151129322
580000,last,f1-measure-overall,0.8133230054221035
600000,last,f1-measure-overall,0.8173763440859716
620000,last,f1-measure-overall,0.8168844566712019
640000,last,f1-measure-overall,0.8183690987123965
660000,last,f1-measure-overall,0.8219060678779069
680000,last,f1-measure-overall,0.8249268376656412
700000,last,f1-measure-overall,0.820790378006823
720000,last,f1-measure-overall,0.8218375957977629
740000,last,f1-measure-overall,0.8197424892703363
760000,last,f1-measure-overall,0.8205920205919707
780000,last,f1-measure-overall,0.8177060993394027
800000,last,f1-measure-overall,0.8218776916450835
820000,last,f1-measure-overall,0.8212593677318821
840000,last,f1-measure-overall,0.8216653750107139
860000,last,f1-measure-overall,0.827693370165696
880000,last,f1-measure-overall,0.825708624106093
900000,last,f1-measure-overall,0.8224572263777336
920000,last,f1-measure-overall,0.8239242685025319
940000,last,f1-measure-overall,0.8221439009713247
960000,last,f1-measure-overall,0.8243776824033836
980000,last,f1-measure-overall,0.8252768953378053
1000000,last,f1-measure-overall,0.8264420183958927
